lat,lon,name,ele,time,At,d,v,stops,orientation,reorientation
41.60345,2.282907,P2,139.556,2022-04-29 13:01:25+00:00,4.0,5.160056206534271,1.2900140516335676,moving,244.4700336458436,4.456693078030526
41.60343,2.282851,P2,139.465,2022-04-29 13:01:29+00:00,5.0,5.257269432083722,1.0514538864167444,moving,248.9267267238741,-48.028147894380965
41.603413,2.282792,P2,139.455,2022-04-29 13:01:34+00:00,12.0,5.594184056866828,0.4661820047389023,stop,200.8985788294932,-19.341018033895807
41.603366,2.282768,P2,139.326,2022-04-29 13:01:46+00:00,5.0,6.117981420429304,1.2235962840858607,moving,181.55756079559737,-16.04142902193186
41.603311,2.282766,P2,139.372,2022-04-29 13:01:51+00:00,5.0,6.316470234524201,1.2632940469048402,moving,165.5161317736655,12.897475638418882
41.603256,2.282785,P2,139.46,2022-04-29 13:01:56+00:00,4.0,6.0068283454602485,1.501707086365062,moving,178.4136074120844,8.562483186530898
41.603202,2.282787,P2,139.564,2022-04-29 13:02:00+00:00,4.0,6.161333767255128,1.540333441813782,moving,186.9760905986153,-7.784407161753364
41.603147,2.282778,P2,139.406,2022-04-29 13:02:04+00:00,4.0,5.893917634147242,1.4734794085368106,moving,179.19168343686192,0.0821917212431344
41.603094,2.282779,P2,139.416,2022-04-29 13:02:08+00:00,4.0,6.561027553595137,1.6402568883987845,moving,179.27387515810506,13.218747206953909
41.603035,2.28278,P2,139.409,2022-04-29 13:02:12+00:00,4.0,6.150137375567778,1.5375343438919444,moving,192.49262236505896,-6.13782846504202
41.602981,2.282764,P2,139.367,2022-04-29 13:02:16+00:00,4.0,5.258471902983128,1.314617975745782,moving,186.3547939000169,-172.63349012070483
41.602934,2.282757,P2,139.296,2022-04-29 13:02:20+00:00,12.0,5.608615865717622,0.4673846554764685,stop,13.721303779312109,-13.721303779312109
41.602983,2.282773,P2,139.287,2022-04-29 13:02:32+00:00,6.0,5.448551405258596,0.9080919008764328,moving,0.0,-176.88716100367287
